StudentID,Name,Age,Grade,Mathematics,Science,English,Hindi,Sanskrit,Social Science,PreferredSubjects,WeakSubjects,LearningStyle,Hobbies,CareerInterest
1,Student_1,16,9,66,48,63,80,49,75,['English'],"['Mathematics', 'Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,['Writing'],Doctor
2,Student_2,16,8,51,69,85,94,65,62,"['Science', 'English']","['Mathematics', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,"['Technology', 'Dance', 'Writing']",Teacher
3,Student_3,15,8,59,63,60,63,44,51,"['Sanskrit', 'Science']","['Mathematics', 'English', 'Hindi', 'SocialStudies']",Auditory,"['Writing', 'Music']",Engineer
4,Student_4,16,9,66,97,85,60,44,57,"['Science', 'English']","['Mathematics', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,"['Sports', 'Music', 'Writing']",Entrepreneur
5,Student_5,14,8,49,44,78,94,45,74,"['English', 'Hindi']","['Mathematics', 'Science', 'Sanskrit', 'SocialStudies']",Auditory,"['Sports', 'Technology', 'Reading']",Scientist
6,Student_6,15,10,57,64,42,74,65,59,['Sanskrit'],"['Mathematics', 'Science', 'English', 'Hindi', 'SocialStudies']",Kinesthetic,['Dance'],Teacher
7,Student_7,16,8,67,98,95,98,46,81,"['Hindi', 'Sanskrit']","['Mathematics', 'Science', 'English', 'SocialStudies']",Visual,['Technology'],Doctor
8,Student_8,16,9,45,63,87,60,72,51,['Science'],"['Mathematics', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,"['Sports', 'Technology']",Teacher
9,Student_9,14,8,68,64,83,93,54,42,"['Science', 'Hindi']","['Mathematics', 'English', 'Sanskrit', 'SocialStudies']",Auditory,['Writing'],Government Services
10,Student_10,15,9,43,73,57,45,40,56,"['SocialStudies', 'Hindi']","['Mathematics', 'Science', 'English', 'Sanskrit']",Visual,"['Reading', 'Sports', 'Arts']",Doctor
11,Student_11,16,9,68,40,80,67,79,71,['Mathematics'],"['Science', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Visual,"['Music', 'Arts']",Scientist
12,Student_12,14,8,85,60,83,100,95,87,"['Science', 'SocialStudies']","['Mathematics', 'English', 'Hindi', 'Sanskrit']",Kinesthetic,['Sports'],Artist
13,Student_13,16,9,84,60,94,93,85,62,['Mathematics'],"['Science', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,"['Arts', 'Music']",Entrepreneur
14,Student_14,14,8,55,49,40,47,43,79,"['Mathematics', 'Hindi']","['Science', 'English', 'Sanskrit', 'SocialStudies']",Visual,"['Reading', 'Music', 'Arts']",Teacher
15,Student_15,14,8,47,45,52,82,85,88,"['Science', 'English', 'Mathematics']","['Hindi', 'Sanskrit', 'SocialStudies']",Visual,['Arts'],Government Services
16,Student_16,16,10,69,97,100,81,88,55,"['Hindi', 'Mathematics', 'SocialStudies']","['Science', 'English', 'Sanskrit']",Kinesthetic,"['Technology', 'Reading']",Government Services
17,Student_17,16,10,80,57,41,95,86,53,['SocialStudies'],"['Mathematics', 'Science', 'English', 'Hindi', 'Sanskrit']",Kinesthetic,['Reading'],Teacher
18,Student_18,15,9,54,44,49,80,81,60,"['Science', 'Hindi', 'Mathematics']","['English', 'Sanskrit', 'SocialStudies']",Auditory,"['Technology', 'Arts']",Scientist
19,Student_19,14,10,66,50,41,83,74,96,['Science'],"['Mathematics', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,"['Sports', 'Writing', 'Music']",Engineer
20,Student_20,15,10,56,75,99,42,72,53,['Hindi'],"['Mathematics', 'Science', 'English', 'Sanskrit', 'SocialStudies']",Visual,['Technology'],Entrepreneur
21,Student_21,15,10,92,66,84,74,46,76,"['Sanskrit', 'SocialStudies', 'Hindi']","['Mathematics', 'Science', 'English']",Visual,"['Music', 'Reading']",Doctor
22,Student_22,14,10,79,58,60,87,57,87,['SocialStudies'],"['Mathematics', 'Science', 'English', 'Hindi', 'Sanskrit']",Auditory,['Dance'],Doctor
23,Student_23,16,10,62,77,57,89,63,59,"['English', 'Sanskrit', 'Mathematics']","['Science', 'Hindi', 'SocialStudies']",Auditory,"['Writing', 'Reading', 'Sports']",Artist
24,Student_24,16,10,60,74,80,75,60,48,"['Mathematics', 'Science']","['English', 'Hindi', 'Sanskrit', 'SocialStudies']",Visual,"['Music', 'Writing', 'Sports']",Engineer
25,Student_25,15,8,82,78,75,65,49,75,"['Sanskrit', 'Science', 'SocialStudies']","['Mathematics', 'English', 'Hindi']",Auditory,"['Technology', 'Dance', 'Reading']",Government Services
26,Student_26,14,8,60,75,93,66,41,62,['Hindi'],"['Mathematics', 'Science', 'English', 'Sanskrit', 'SocialStudies']",Logical,"['Reading', 'Arts', 'Sports']",Engineer
27,Student_27,15,10,89,63,76,59,40,78,['Hindi'],"['Mathematics', 'Science', 'English', 'Sanskrit', 'SocialStudies']",Auditory,['Writing'],Scientist
28,Student_28,16,10,84,49,95,43,61,55,['English'],"['Mathematics', 'Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,"['Dance', 'Writing']",Doctor
29,Student_29,14,10,98,99,41,61,85,50,['Mathematics'],"['Science', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,"['Dance', 'Sports']",Entrepreneur
30,Student_30,14,8,59,99,82,92,89,68,"['SocialStudies', 'Science', 'English']","['Mathematics', 'Hindi', 'Sanskrit']",Logical,"['Music', 'Dance']",Scientist
31,Student_31,14,9,63,62,44,50,69,51,"['Science', 'Mathematics']","['English', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,['Music'],Engineer
32,Student_32,14,10,95,92,42,62,48,44,"['Hindi', 'English', 'SocialStudies']","['Mathematics', 'Science', 'Sanskrit']",Visual,['Dance'],Teacher
33,Student_33,16,9,78,93,72,70,43,59,"['Hindi', 'SocialStudies', 'Science']","['Mathematics', 'English', 'Sanskrit']",Kinesthetic,"['Technology', 'Sports']",Teacher
34,Student_34,16,8,59,84,42,78,67,92,['Sanskrit'],"['Mathematics', 'Science', 'English', 'Hindi', 'SocialStudies']",Logical,['Music'],Artist
35,Student_35,14,10,68,48,69,85,95,89,"['Science', 'Hindi', 'English']","['Mathematics', 'Sanskrit', 'SocialStudies']",Auditory,"['Dance', 'Technology', 'Writing']",Teacher
36,Student_36,16,10,100,99,70,88,98,56,"['Sanskrit', 'Hindi']","['Mathematics', 'Science', 'English', 'SocialStudies']",Auditory,"['Writing', 'Technology']",Scientist
37,Student_37,15,9,54,89,62,63,51,49,"['English', 'SocialStudies', 'Mathematics']","['Science', 'Hindi', 'Sanskrit']",Logical,"['Dance', 'Technology', 'Music']",Entrepreneur
38,Student_38,15,10,97,41,87,67,71,42,"['Hindi', 'Mathematics', 'SocialStudies']","['Science', 'English', 'Sanskrit']",Auditory,['Sports'],Entrepreneur
39,Student_39,15,8,93,72,97,54,44,42,['SocialStudies'],"['Mathematics', 'Science', 'English', 'Hindi', 'Sanskrit']",Auditory,['Technology'],Engineer
40,Student_40,15,10,43,98,81,83,74,87,"['Sanskrit', 'Hindi', 'Mathematics']","['Science', 'English', 'SocialStudies']",Kinesthetic,"['Dance', 'Arts', 'Technology']",Government Services
41,Student_41,14,9,95,59,90,71,72,65,"['Mathematics', 'English']","['Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,"['Arts', 'Dance']",Doctor
42,Student_42,15,10,100,70,65,57,62,66,['Hindi'],"['Mathematics', 'Science', 'English', 'Sanskrit', 'SocialStudies']",Logical,"['Sports', 'Writing']",Government Services
43,Student_43,14,8,43,99,59,81,46,75,['Sanskrit'],"['Mathematics', 'Science', 'English', 'Hindi', 'SocialStudies']",Auditory,['Writing'],Teacher
44,Student_44,15,9,86,78,79,54,88,74,"['Hindi', 'Sanskrit', 'English']","['Mathematics', 'Science', 'SocialStudies']",Auditory,"['Sports', 'Arts', 'Reading']",Artist
45,Student_45,15,10,66,86,100,40,95,41,"['Hindi', 'English', 'SocialStudies']","['Mathematics', 'Science', 'Sanskrit']",Auditory,"['Reading', 'Writing', 'Music']",Doctor
46,Student_46,14,10,45,69,56,66,73,72,"['English', 'Science', 'Sanskrit']","['Mathematics', 'Hindi', 'SocialStudies']",Visual,"['Sports', 'Dance', 'Music']",Teacher
47,Student_47,15,8,94,85,70,61,91,68,"['SocialStudies', 'English']","['Mathematics', 'Science', 'Hindi', 'Sanskrit']",Logical,"['Music', 'Dance', 'Sports']",Engineer
48,Student_48,16,10,90,93,65,40,67,76,['English'],"['Mathematics', 'Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Logical,"['Reading', 'Sports', 'Technology']",Artist
49,Student_49,14,10,42,91,71,100,47,83,"['English', 'Hindi', 'SocialStudies']","['Mathematics', 'Science', 'Sanskrit']",Logical,"['Arts', 'Reading', 'Dance']",Government Services
50,Student_50,16,10,62,100,97,84,47,42,"['Mathematics', 'English']","['Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,"['Dance', 'Sports']",Teacher
51,Student_51,14,9,99,42,47,67,71,76,"['Sanskrit', 'Hindi']","['Mathematics', 'Science', 'English', 'SocialStudies']",Visual,"['Technology', 'Writing', 'Dance']",Teacher
52,Student_52,14,9,100,79,56,78,47,69,"['Mathematics', 'SocialStudies']","['Science', 'English', 'Hindi', 'Sanskrit']",Logical,"['Sports', 'Music', 'Technology']",Teacher
53,Student_53,15,8,93,64,80,53,68,97,"['Sanskrit', 'Science', 'English']","['Mathematics', 'Hindi', 'SocialStudies']",Visual,"['Arts', 'Sports']",Doctor
54,Student_54,15,9,44,84,57,73,82,51,"['Mathematics', 'English']","['Science', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,"['Arts', 'Sports']",Engineer
55,Student_55,15,10,40,56,71,80,80,76,"['Sanskrit', 'Hindi', 'Science']","['Mathematics', 'English', 'SocialStudies']",Visual,"['Music', 'Sports']",Engineer
56,Student_56,15,9,70,60,49,58,74,59,"['Sanskrit', 'English']","['Mathematics', 'Science', 'Hindi', 'SocialStudies']",Logical,"['Arts', 'Sports', 'Dance']",Entrepreneur
57,Student_57,16,9,78,63,95,77,81,88,"['Hindi', 'English']","['Mathematics', 'Science', 'Sanskrit', 'SocialStudies']",Auditory,['Music'],Doctor
58,Student_58,15,8,47,54,46,56,47,82,"['Hindi', 'Science', 'Mathematics']","['English', 'Sanskrit', 'SocialStudies']",Auditory,"['Reading', 'Music']",Doctor
59,Student_59,16,8,88,66,100,70,61,69,['Science'],"['Mathematics', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,['Dance'],Doctor
60,Student_60,14,8,71,69,42,84,56,67,"['Hindi', 'Science', 'English']","['Mathematics', 'Sanskrit', 'SocialStudies']",Logical,"['Technology', 'Dance']",Entrepreneur
61,Student_61,16,10,61,74,41,56,44,55,"['Hindi', 'Sanskrit', 'English']","['Mathematics', 'Science', 'SocialStudies']",Visual,['Technology'],Teacher
62,Student_62,16,8,90,87,98,47,47,65,['Mathematics'],"['Science', 'English', 'Hindi', 'Sanskrit', 'SocialStudies']",Auditory,['Technology'],Entrepreneur
63,Student_63,16,10,74,48,51,55,50,76,"['Hindi', 'Sanskrit']","['Mathematics', 'Science', 'English', 'SocialStudies']",Logical,"['Sports', 'Technology', 'Music']",Teacher
64,Student_64,16,8,40,82,94,86,48,100,"['English', 'Mathematics', 'Hindi']","['Science', 'Sanskrit', 'SocialStudies']",Logical,"['Sports', 'Writing', 'Reading']",Artist
65,Student_65,15,9,54,92,57,78,86,69,"['Mathematics', 'Science', 'English']","['Hindi', 'Sanskrit', 'SocialStudies']",Kinesthetic,['Writing'],Artist
